product_name,image_url,source_page,notes
Aashirvaad Atta 5kg,https://www.bbassets.com/media/uploads/p/s/126903_12-aashirvaad-atta-whole-wheat.jpg,https://www.bigbasket.com/pd/126903/aashirvaad-atta-whole-wheat-5-kg-pouch/,Verified - plain Whole Wheat variant (not Multigrain/Select)
Act II Classic Salted Popcorn 30g,https://www.bbassets.com/media/uploads/p/s/189220_8-act-ii-instant-popcorn-classic-salted-hot-fresh-delicious.jpg,https://www.bigbasket.com/pd/189220/act-ii-instant-popcorn-classic-salted-hot-fresh-delicious-30-g-pouch/,"Note: BigBasket currently lists this pack as 40g, closest match to our 30g"
Amul Butter 500g,https://www.bbassets.com/media/uploads/p/s/104864_8-amul-butter-pasteurised.jpg,https://www.bigbasket.com/pd/104864/amul-butter-pasteurised-500-g-carton/,Verified - classic salted Pasteurised Butter (not Unsalted/Cooking)
Amul Cheese Slices 200g,https://www.bbassets.com/media/uploads/p/s/104808_9-amul-cheese-slices.jpg,https://www.bigbasket.com/pd/104808/amul-cheese-slices-200-g-pouch/,Verified - exact 200g/10-slice pack match
Amul Paneer 200g,https://www.bbassets.com/media/uploads/p/s/279588_7-amul-malai-paneer.jpg,https://www.bigbasket.com/pd/279588/amul-malai-paneer-200-g-pouch/,Verified - Amul Malai Paneer 200g pouch
Amul Dark Chocolate 150g,https://www.bbassets.com/media/uploads/p/s/40021498_1.jpg,https://www.bigbasket.com/pd/40021498/amul-dark-chocolate-150-g/,Matched via curated map
Amul Gold Full Cream Milk 1L,https://www.bbassets.com/media/uploads/p/s/104953_1.jpg,https://www.bigbasket.com/pd/104953/amul-gold-homogenised-standardised-milk-1-l-pouch/,Matched via curated map
Amul Kool Kesar 200ml,https://www.bbassets.com/media/uploads/p/s/263481_1.jpg,https://www.bigbasket.com/pd/263481/amul-kool-kesar-200-ml-tetra-pak/,Matched via curated map
Amul Lassi Mango 200ml,https://www.bbassets.com/media/uploads/p/s/263478_1.jpg,https://www.bigbasket.com/pd/263478/amul-lassi-mango-200-ml-cup/,Matched via curated map
Amul Masti Buttermilk 200ml,https://www.bbassets.com/media/uploads/p/s/241043_1.jpg,https://www.bigbasket.com/pd/241043/amul-masti-spiced-buttermilk-200-ml-tetra-pak/,Matched via curated map
Amul Taaza Toned Milk 1L,https://www.bbassets.com/media/uploads/p/s/104957_1.jpg,https://www.bigbasket.com/pd/104957/amul-taaza-toned-fresh-milk-1-l-pouch/,Matched via curated map
Appy Fizz Apple Sparkling Drink 250ml,https://www.bbassets.com/media/uploads/p/s/40036925_1.jpg,https://www.bigbasket.com/pd/40036925/appy-fizz-sparkling-apple-drink-250-ml-bottle/,Matched via curated map
Bambino Vermicelli 850g,https://www.bbassets.com/media/uploads/p/s/218222_1.jpg,https://www.bigbasket.com/pd/218222/bambino-vermicelli-850-g-pouch/,Matched via curated map
Basmati Rice 1kg,https://www.bbassets.com/media/uploads/p/s/40196654_1.jpg,https://www.bigbasket.com/pd/40196654/bb-royal-basmati-rice-mogra-broken-1-kg-pouch/,Matched via curated map
Bikaji Bhujia 400g,https://www.bbassets.com/media/uploads/p/s/40024040_1.jpg,https://www.bigbasket.com/pd/40024040/bikaji-bhujia-400-g/,Matched via curated map
Bikano Rasgulla Tin 1kg,https://www.bbassets.com/media/uploads/p/s/40026200_1.jpg,https://www.bigbasket.com/pd/40026200/bikano-rasgulla-1-kg-tin/,Matched via curated map
